iter	Logloss
0	0.665343316
1	0.6395799143
2	0.6156062879
3	0.5923682729
4	0.5709473357
5	0.5507145348
6	0.531507884
7	0.5142808732
8	0.4985818581
9	0.4838391446
10	0.4693851067
11	0.4558935015
12	0.4435937588
13	0.4323728066
14	0.4218208352
15	0.4116680709
16	0.4025489427
17	0.3938009738
18	0.3854668117
19	0.3779223241
20	0.3709547135
21	0.3637434799
22	0.356996424
23	0.350983726
24	0.3454540398
25	0.3402512393
26	0.3350277077
27	0.330457812
28	0.3263087351
29	0.3224254687
30	0.3183974919
31	0.3146174401
32	0.3114087099
33	0.3083850682
34	0.3052019808
35	0.3023743011
36	0.2994054678
37	0.2967900436
38	0.2942534446
39	0.2920735744
40	0.2898826613
41	0.2878873375
42	0.2861265924
43	0.2843793969
44	0.2826922603
45	0.281006377
46	0.2793632599
47	0.2778533699
48	0.2764636484
49	0.2751876764
50	0.2737594401
51	0.2724666157
52	0.2714504077
53	0.2703845571
54	0.2693000419
55	0.2684655519
56	0.2676037254
57	0.2667137834
58	0.2658536675
59	0.2650278324
60	0.2643152216
61	0.2636699357
62	0.2629452318
63	0.2622471192
64	0.2615716684
65	0.2608609376
66	0.2603198487
67	0.2596749015
68	0.259203424
69	0.2587165676
70	0.2582926493
71	0.257878978
72	0.2574941506
73	0.2571111524
74	0.2566801206
75	0.2563012381
76	0.2558773029
77	0.2555153913
78	0.2551524805
79	0.2548506956
80	0.2545262658
81	0.2541887944
82	0.2538297113
83	0.253544999
84	0.2532825589
85	0.2530135642
86	0.2527721261
87	0.2525816855
88	0.2523385368
89	0.2521335642
90	0.2519409218
91	0.2517538856
92	0.2514813849
93	0.2512749727
94	0.2511165771
95	0.2509590623
96	0.2507793598
97	0.2506263672
98	0.250432861
99	0.2502298531
100	0.2500641069
101	0.24993486
102	0.2497963485
103	0.2496510114
104	0.249492294
105	0.2493535455
106	0.2492075139
107	0.2490517944
108	0.2489482919
109	0.2488306639
110	0.2487331063
111	0.2486187132
112	0.2485086391
113	0.2483799512
114	0.2482764826
115	0.2481491496
116	0.2480549455
117	0.2479614698
118	0.2478461452
119	0.2477428628
120	0.2476756734
121	0.2475630249
122	0.2474716324
123	0.2473407257
124	0.2472720628
125	0.2471687805
126	0.2470914627
127	0.2470086742
128	0.246908339
129	0.246825415
130	0.2467570739
131	0.246681399
132	0.2466031497
133	0.2465385178
134	0.246464147
135	0.2464100839
136	0.246336035
137	0.2462599028
138	0.2461739301
139	0.2461003893
140	0.2460389924
141	0.2459475491
142	0.2458920124
143	0.2458430812
144	0.2457846991
145	0.2457030454
146	0.245646611
147	0.2455991364
148	0.245523055
149	0.2454731414
150	0.2454236852
151	0.2453457746
152	0.2452989944
153	0.2452438134
154	0.2451917657
155	0.2451549276
156	0.2451070634
157	0.2450346743
158	0.244993568
159	0.2449379127
160	0.2448975008
161	0.2448520417
162	0.2448005699
163	0.2447429161
164	0.24467698
165	0.244645223
166	0.2445932092
167	0.2445532547
168	0.2445002585
169	0.2444447388
170	0.2443900828
171	0.2443276866
172	0.2442724887
173	0.2442198313
174	0.2441696128
175	0.2441302002
176	0.2440815231
177	0.2440469883
178	0.2440100824
179	0.2439707207
180	0.2439224839
181	0.2438835116
182	0.2438382388
183	0.2437958961
184	0.2437529098
185	0.2437112784
186	0.243676134
187	0.2436277786
188	0.2435914825
189	0.2435610973
190	0.2435316099
191	0.2434999714
192	0.2434756498
193	0.2434390657
194	0.2434022444
195	0.2433621882
196	0.2433320064
197	0.2432791288
198	0.2432409357
199	0.2431878041
200	0.2431532185
201	0.2431245949
202	0.2430793898
203	0.2430430598
204	0.2430156894
205	0.2429738548
206	0.2429393709
207	0.2429085116
208	0.2428706572
209	0.2428452177
210	0.24281822
211	0.2427827707
212	0.24274473
213	0.2427005581
214	0.24267312
215	0.2426283384
216	0.2425924487
217	0.2425414681
218	0.2425074584
219	0.2424783266
220	0.2424288195
221	0.2423959447
