feature,gain
DIFF(APPROVED_CNT_PAYMENT_MEAN),72.6
BURO_DAYS_CREDIT_UPDATE_MEAN,71.6
PREV_DAYS_DECISION_MIN,71.4
INSTAL_AMT_INSTALMENT_SUM,70.6
PERCENTILE(INSTAL_AMT_PAYMENT_MIN),70.4
BURO_DAYS_CREDIT_MAX,70.4
BURO_AMT_CREDIT_SUM_MEAN,70.2
DIFF(POS_MONTHS_BALANCE_MAX),69.2
PREV_NAME_TYPE_SUITE_nan_MEAN,68.6
FLAG_DOCUMENT_3,68.4
PERCENTILE(INSTAL_DAYS_ENTRY_PAYMENT_SUM),68.4
APPROVED_AMT_ANNUITY_MEAN,67.6
DIFF(APPROVED_APP_CREDIT_PERC_MIN),67.0
PERCENTILE(ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN),67.0
CUM_MEAN(DAYS_BIRTH),66.8
INSTAL_DAYS_ENTRY_PAYMENT_SUM,66.8
CLOSED_AMT_CREDIT_SUM_SUM,66.4
PERCENTILE(INSTAL_PAYMENT_PERC_MEAN),65.8
PREV_NAME_CLIENT_TYPE_New_MEAN,65.6
PERCENTILE(YEARS_BEGINEXPLUATATION_MEDI),65.4
PREV_APP_CREDIT_PERC_MEAN,65.0
PERCENTILE(CC_CNT_DRAWINGS_ATM_CURRENT_SUM),64.8
APARTMENTS_MODE,63.6
INSTAL_AMT_PAYMENT_MIN,63.6
PERCENTILE(INSTAL_AMT_INSTALMENT_MAX),63.0
PERCENTILE(PREV_HOUR_APPR_PROCESS_START_MEAN),62.6
BURO_AMT_CREDIT_SUM_SUM,62.4
PERCENTILE(BURO_AMT_CREDIT_MAX_OVERDUE_MEAN),62.4
PERCENTILE(ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN),62.0
DIFF(PREV_CNT_PAYMENT_MEAN),61.8
PERCENTILE(ACTIVE_AMT_CREDIT_SUM_DEBT_SUM),61.8
DIFF(PREV_CHANNEL_TYPE_Country-wide_MEAN),61.4
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,61.2
PERCENTILE(BURO_AMT_CREDIT_SUM_SUM),61.0
INSTAL_PAYMENT_DIFF_MEAN,60.6
PERCENTILE(PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN),60.4
BURO_DAYS_CREDIT_MEAN,60.4
PERCENTILE(BURO_AMT_CREDIT_SUM_MEAN),60.2
PERCENTILE(INSTAL_PAYMENT_DIFF_MEAN),60.0
PERCENTILE(BURO_AMT_CREDIT_SUM_DEBT_MEAN),60.0
PERCENTILE(APPROVED_AMT_ANNUITY_MEAN),60.0
DIFF(APPROVED_AMT_GOODS_PRICE_MIN),59.8
PERCENTILE(PREV_HOUR_APPR_PROCESS_START_MAX),58.6
PERCENTILE(PREV_APP_CREDIT_PERC_MEAN),58.6
DIFF(ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN),58.6
DIFF(PREV_NAME_PORTFOLIO_POS_MEAN),57.6
CUM_MEAN(REFUSED_AMT_CREDIT_MAX),57.6
CUM_MEAN(REFUSED_DAYS_DECISION_MAX),57.4
DIFF(REFUSED_HOUR_APPR_PROCESS_START_MEAN),57.2
CUM_MEAN(PREV_NAME_CASH_LOAN_PURPOSE_Education_MEAN),57.2
PREV_AMT_ANNUITY_MIN,57.0
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,56.8
APPROVED_AMT_DOWN_PAYMENT_MAX,56.2
DIFF(APPROVED_AMT_CREDIT_MIN),56.0
PERCENTILE(APPROVED_HOUR_APPR_PROCESS_START_MAX),55.8
CUM_MEAN(CLOSED_MONTHS_BALANCE_SIZE_SUM),55.6
CUM_MEAN(BURO_DAYS_CREDIT_ENDDATE_MAX),55.6
DIFF(REFUSED_DAYS_DECISION_MAX),55.6
CUM_MEAN(REFUSED_AMT_ANNUITY_MAX),55.2
CUM_MEAN(PREV_PRODUCT_COMBINATION_POS industry without interest_MEAN),55.0
ACTIVE_DAYS_CREDIT_VAR,55.0
PERCENTILE(BURO_DAYS_CREDIT_MEAN),55.0
PERCENTILE(INSTAL_PAYMENT_DIFF_MAX),54.8
APPROVED_DAYS_DECISION_MIN,54.6
APPROVED_AMT_ANNUITY_MIN,54.0
DIFF(BURO_CREDIT_TYPE_Microloan_MEAN),53.8
INSTAL_AMT_INSTALMENT_MAX,53.6
DIFF(PREV_NAME_PRODUCT_TYPE_XNA_MEAN),53.6
DIFF(APPROVED_AMT_GOODS_PRICE_MEAN),53.6
DIFF(PREV_CODE_REJECT_REASON_HC_MEAN),53.6
APPROVED_APP_CREDIT_PERC_MEAN,53.4
CUM_MEAN(OCCUPATION_TYPE_Cooking staff),53.4
BURO_AMT_CREDIT_SUM_DEBT_MEAN,53.2
DIFF(PREV_NAME_CASH_LOAN_PURPOSE_XAP_MEAN),53.2
CUM_MEAN(PREV_CHANNEL_TYPE_AP+ (Cash loan)_MEAN),53.2
ORGANIZATION_TYPE_Self-employed,52.8
DIFF(PREV_NAME_CONTRACT_STATUS_Approved_MEAN),52.8
PREV_NAME_YIELD_GROUP_XNA_MEAN,52.8
DIFF(CC_CNT_DRAWINGS_CURRENT_MEAN),52.6
DIFF(PREV_AMT_GOODS_PRICE_MAX),52.6
YEARS_BEGINEXPLUATATION_MEDI,52.6
PERCENTILE(APPROVED_AMT_DOWN_PAYMENT_MAX),52.2
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,52.2
POS_MONTHS_BALANCE_MEAN,52.0
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,52.0
PERCENTILE(PREV_PRODUCT_COMBINATION_POS industry with interest_MEAN),51.8
INSTAL_PAYMENT_DIFF_MAX,51.6
PERCENTILE(CC_CNT_DRAWINGS_CURRENT_MEAN),51.4
DIFF(REFUSED_DAYS_DECISION_MIN),51.4
CUM_MEAN(NAME_FAMILY_STATUS_Civil marriage),51.4
CUM_MEAN(PREV_NAME_PORTFOLIO_Cards_MEAN),51.0
POS_COUNT,50.8
AMT_REQ_CREDIT_BUREAU_QRT,50.8
DIFF(PREV_CNT_PAYMENT_SUM),50.6
PERCENTILE(CC_CNT_DRAWINGS_CURRENT_VAR),50.4
CLOSED_DAYS_CREDIT_MEAN,50.0
INSTAL_DPD_MAX,50.0
DIFF(PREV_NAME_PRODUCT_TYPE_x-sell_MEAN),49.8
PERCENTILE(PREV_AMT_ANNUITY_MIN),49.8
PERCENTILE(PREV_NAME_CONTRACT_STATUS_Canceled_MEAN),49.6
CUM_MEAN(NAME_EDUCATION_TYPE_Lower secondary),49.4
DIFF(BURO_MONTHS_BALANCE_SIZE_MEAN),49.4
PREV_HOUR_APPR_PROCESS_START_MEAN,49.4
CUM_MEAN(BURO_AMT_CREDIT_MAX_OVERDUE_MEAN),49.2
CUM_MEAN(APPROVED_APP_CREDIT_PERC_VAR),49.0
CUM_MEAN(NAME_HOUSING_TYPE_Rented apartment),49.0
PERCENTILE(POS_MONTHS_BALANCE_MEAN),49.0
CUM_MEAN(CC_AMT_CREDIT_LIMIT_ACTUAL_VAR),49.0
CUM_MEAN(PREV_NAME_PAYMENT_TYPE_XNA_MEAN),48.8
DIFF(REFUSED_AMT_CREDIT_MIN),48.8
CUM_MEAN(NAME_TYPE_SUITE_Family),48.8
CC_CNT_DRAWINGS_CURRENT_MEAN,48.6
