iter	Logloss
0	0.5893285892
1	0.5090290019
2	0.4483238187
3	0.404676889
4	0.3728400633
5	0.3494012719
6	0.328527212
7	0.3126349669
8	0.299498609
9	0.2906396124
10	0.2825875382
11	0.2767257179
12	0.2712756579
13	0.267369662
14	0.2638981431
15	0.2616032606
16	0.2594145734
17	0.2575295035
18	0.2559718898
19	0.2549434312
20	0.2537558069
21	0.2529973245
22	0.2522872608
23	0.2514887011
24	0.2507241426
25	0.2500566967
26	0.2496556279
27	0.2493144527
28	0.2489558746
29	0.2486201193
30	0.2483391975
31	0.2479335134
32	0.2475528537
33	0.2473573369
34	0.2469844894
35	0.2467367642
36	0.2465069923
37	0.2462587166
38	0.2460022054
39	0.2458201747
40	0.2455603395
41	0.2454095365
42	0.2452121778
43	0.244999237
44	0.2448667894
45	0.2446673983
46	0.2445218669
47	0.2443459335
48	0.2441689204
49	0.2440124646
50	0.2438731576
51	0.2437240482
52	0.2435779876
53	0.2434628581
54	0.2433310669
55	0.2431738066
56	0.2430726925
57	0.2429507671
58	0.2428322714
59	0.2426691467
60	0.2425685619
61	0.2424793461
62	0.2423752258
63	0.2422596517
64	0.2420799922
65	0.2419631056
66	0.2418836709
67	0.2417894164
68	0.2416851901
69	0.2416024316
70	0.2415338155
71	0.2414681845
72	0.2413140787
73	0.2412197183
74	0.2411486675
75	0.2410706725
76	0.2409743431
77	0.2408773786
78	0.240815495
79	0.2407466671
80	0.2406372751
81	0.2405822086
82	0.2404948982
83	0.2403992252
84	0.2402786124
85	0.2402130661
86	0.2401409567
87	0.2400836672
88	0.2399902595
89	0.2398841702
90	0.2398118279
91	0.2397378555
92	0.2396531068
93	0.2395846601
94	0.2394967146
95	0.2394622265
96	0.2393912392
97	0.2393518818
98	0.2392911626
99	0.2391985594
100	0.2391374379
101	0.2390796403
102	0.2390152796
103	0.238949204
104	0.2388968262
105	0.2388382241
106	0.2387570958
107	0.2387107095
108	0.2386502231
109	0.2385609015
110	0.2384963291
111	0.2384311427
112	0.238347749
113	0.2382911793
114	0.2382121893
115	0.2381314843
116	0.2380625295
117	0.2380085215
118	0.2379537302
119	0.2378826582
120	0.2378101043
121	0.2377517985
122	0.2376542836
123	0.2376049545
124	0.2375467123
125	0.2375014058
126	0.2374499807
127	0.2373533762
128	0.2372954092
129	0.2372299264
130	0.2371229267
131	0.2370581003
132	0.2369874729
133	0.2368927525
134	0.236834468
135	0.2367862822
136	0.2367235728
137	0.2366637216
138	0.2365897915
139	0.2365120082
140	0.2364421218
141	0.2363823341
142	0.2362963363
143	0.2362136836
144	0.2361558437
145	0.2360788861
146	0.2360095289
147	0.2359395367
148	0.2358774625
149	0.235832283
150	0.2357638785
151	0.2357088967
152	0.2356404711
153	0.2355618198
154	0.2355037893
155	0.2354428584
156	0.235389295
157	0.2353327465
158	0.2352601714
